pattern,batch-size,algo,bs_position,precision,device_name,median,nruns,ecs
"[[1, 48, 48, 1]]",25088,kernel,bs_first,fp32,Tesla_V100-PCIE-16GB,4431.0,512.0,
"[[1, 48, 48, 1]]",25088,kernel,bs_last,fp32,Tesla_V100-PCIE-16GB,6786.5,1024.0,
"[[1, 48, 48, 1]]",25088,monarch,bs_first,fp32,Tesla_V100-PCIE-16GB,5068.0,512.0,
"[[1, 48, 48, 1]]",25088,monarch,bs_last,fp32,Tesla_V100-PCIE-16GB,5110.0,512.0,
"[[1, 48, 48, 1]]",25088,einsum,bs_first,fp32,Tesla_V100-PCIE-16GB,4784.0,512.0,
"[[1, 48, 48, 1]]",25088,einsum,bs_last,fp32,Tesla_V100-PCIE-16GB,4548.5,512.0,
"[[1, 48, 48, 1]]",25088,dense,bs_first,fp32,Tesla_V100-PCIE-16GB,7064.0,1024.0,
"[[1, 48, 48, 1]]",25088,dense,bs_last,fp32,Tesla_V100-PCIE-16GB,6746.5,1024.0,
"[[1, 48, 48, 2]]",25088,kernel,bs_first,fp32,Tesla_V100-PCIE-16GB,4310.5,256.0,
"[[1, 48, 48, 2]]",25088,kernel,bs_last,fp32,Tesla_V100-PCIE-16GB,6012.5,512.0,
"[[1, 48, 48, 2]]",25088,monarch,bs_first,fp32,Tesla_V100-PCIE-16GB,6073.0,256.0,
"[[1, 48, 48, 2]]",25088,monarch,bs_last,fp32,Tesla_V100-PCIE-16GB,5701.0,256.0,
"[[1, 48, 48, 2]]",25088,einsum,bs_first,fp32,Tesla_V100-PCIE-16GB,6574.5,256.0,
"[[1, 48, 48, 2]]",25088,einsum,bs_last,fp32,Tesla_V100-PCIE-16GB,6870.5,256.0,
"[[1, 48, 48, 2]]",25088,dense,bs_first,fp32,Tesla_V100-PCIE-16GB,8028.0,512.0,
"[[1, 48, 48, 2]]",25088,dense,bs_last,fp32,Tesla_V100-PCIE-16GB,7932.0,512.0,
"[[1, 48, 48, 3]]",25088,kernel,bs_first,fp32,Tesla_V100-PCIE-16GB,7572.0,256.0,
"[[1, 48, 48, 3]]",25088,kernel,bs_last,fp32,Tesla_V100-PCIE-16GB,9539.0,512.0,
"[[1, 48, 48, 3]]",25088,monarch,bs_first,fp32,Tesla_V100-PCIE-16GB,8864.5,256.0,
"[[1, 48, 48, 3]]",25088,monarch,bs_last,fp32,Tesla_V100-PCIE-16GB,8561.5,256.0,
"[[1, 48, 48, 3]]",25088,einsum,bs_first,fp32,Tesla_V100-PCIE-16GB,4680.5,128.0,
"[[1, 48, 48, 3]]",25088,einsum,bs_last,fp32,Tesla_V100-PCIE-16GB,7060.5,128.0,
"[[1, 48, 48, 3]]",25088,dense,bs_first,fp32,Tesla_V100-PCIE-16GB,9002.0,256.0,
"[[1, 48, 48, 3]]",25088,dense,bs_last,fp32,Tesla_V100-PCIE-16GB,8263.5,256.0,
"[[1, 48, 48, 4]]",25088,kernel,bs_first,fp32,Tesla_V100-PCIE-16GB,9787.5,256.0,
"[[1, 48, 48, 4]]",25088,kernel,bs_last,fp32,Tesla_V100-PCIE-16GB,11274.5,512.0,
"[[1, 48, 48, 4]]",25088,monarch,bs_first,fp32,Tesla_V100-PCIE-16GB,5925.0,128.0,
"[[1, 48, 48, 4]]",25088,monarch,bs_last,fp32,Tesla_V100-PCIE-16GB,5414.5,128.0,
"[[1, 48, 48, 4]]",25088,einsum,bs_first,fp32,Tesla_V100-PCIE-16GB,6970.0,128.0,
"[[1, 48, 48, 4]]",25088,einsum,bs_last,fp32,Tesla_V100-PCIE-16GB,5275.5,64.0,
"[[1, 48, 48, 4]]",25088,dense,bs_first,fp32,Tesla_V100-PCIE-16GB,13801.5,256.0,
"[[1, 48, 48, 4]]",25088,dense,bs_last,fp32,Tesla_V100-PCIE-16GB,11312.0,256.0,
"[[1, 48, 48, 6]]",25088,kernel,bs_first,fp32,Tesla_V100-PCIE-16GB,7958.0,128.0,
"[[1, 48, 48, 6]]",25088,kernel,bs_last,fp32,Tesla_V100-PCIE-16GB,8391.0,256.0,
"[[1, 48, 48, 6]]",25088,monarch,bs_first,fp32,Tesla_V100-PCIE-16GB,8512.5,128.0,
